account,date,daily_pnl,trade_count,avg_trade_size,long_count,short_count,win_trades,win_rate,long_short_ratio,is_profitable,value,classification,sentiment
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-10,990.674468,58,150417.62758620692,24,34,35,0.603448275862069,0.6857142857142857,1,43.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-11,1053.5230999999999,5,8379.6,2,3,3,0.6,0.5,1,47.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-12,-22303.603584,118,5427.6949152542375,31,87,28,0.23728813559322035,0.3522727272727273,0,46.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-13,2390.12335,101,3489.4851485148515,84,17,84,0.8316831683168316,4.666666666666667,1,50.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-15,462.740727,28,479844.78571428574,9,19,19,0.6785714285714286,0.45,1,50.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-16,14.54605,5,10676.0,4,1,1,0.2,2.0,1,54.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-18,3112.721339,131,338648.6564885496,18,113,106,0.8091603053435115,0.15789473684210525,1,47.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,770.462266,221,236816.72398190046,204,17,154,0.6968325791855203,11.333333333333334,1,44.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-20,1727.154021,69,63992.811594202896,52,17,65,0.9420289855072463,2.888888888888889,1,49.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-21,2720.828056,188,38553.72340425532,61,127,121,0.6436170212765957,0.4765625,1,55.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-22,1437.17482,121,84312.59504132232,41,80,80,0.6611570247933884,0.5061728395061729,1,49.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-23,1001.2053860000001,125,38311.536,26,99,98,0.784,0.26,1,50.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-25,3622.6256409999996,79,31407.620253164558,17,62,76,0.9620253164556962,0.2698412698412698,1,25.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-26,5303.037252,86,24982.77441860465,81,5,80,0.9302325581395349,13.5,1,21.0,Extreme Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-02,948.6016900000001,12,13560.833333333334,11,1,11,0.9166666666666666,5.5,1,26.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-03,-370.250064,101,7062.962376237623,33,68,61,0.6039603960396039,0.4782608695652174,0,33.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-05,-5843.04,2,25900.0,1,1,0,0.0,0.5,0,20.0,Extreme Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-08,556.480533,18,237735.22222222222,17,1,17,0.9444444444444444,8.5,1,28.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-11,23670.188163,170,125255.34705882354,86,84,161,0.9470588235294117,1.011764705882353,1,24.0,Extreme Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-12,788.209533,24,483323.0833333333,3,21,21,0.875,0.13636363636363635,1,34.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-13,216.69714,20,343.8,1,19,1,0.05,0.05,1,45.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-15,500.116094,33,89531.39393939394,30,3,7,0.21212121212121213,7.5,1,46.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-16,941.32505,15,7976.653333333334,1,14,14,0.9333333333333333,0.06666666666666667,1,30.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-17,5845.632627,152,25613.805263157894,96,56,146,0.9605263157894737,1.6842105263157894,1,32.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-18,82.269533,14,1044.3,10,4,10,0.7142857142857143,2.0,1,34.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-19,106.886191,43,1607.2093023255813,1,42,39,0.9069767441860465,0.023255813953488372,1,32.0,Fear,Fear
